,PLAYER,TEAM,AGE,games played,W,L,avg minutes per game,PTS,FGM (field goals made AKA num baskets made),FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year
28,Aliyah Boston,IND,22,40,20,20,30.9,14,5.9,11.2,52.9,0.2,0.7,26.9,2,2.8,73.6,2.8,6.1,8.9,3.2,2,0.9,1.2,3.3,30.4,13,0,-0.8,2024
29,Brionna Jones,CON,28,40,28,12,27.2,13.7,5.5,10.2,53.8,0.1,0.4,14.3,2.7,3.6,73.8,2.2,3.4,5.5,1.5,1.3,1.2,0.6,2.7,24.3,0,0,6.5,2024
30,Angel Reese,CHI,22,34,12,22,32.5,13.6,4.8,12.3,39.1,0.1,0.5,18.8,3.9,5.2,73.6,5.1,8.1,13.1,1.9,2.2,1.3,0.5,3.5,32.2,26,0,0.4,2024
31,Rickea Jackson,LAS,23,40,8,32,28.8,13.4,5,11,45.6,1.1,3.1,34.7,2.3,2.9,80.7,1.3,2.6,3.9,1.5,1.9,0.7,0.4,1.8,21.9,1,0,-6.1,2024
32,DiJonai Carrington,CON,26,39,27,12,29.6,12.7,4.4,11,40.3,0.7,2.7,25,3.2,4,79,1.4,3.7,5,1.6,1.9,1.6,0.4,2.6,24,2,0,3,2024
33,Odyssey Sims,LAS,32,24,5,19,29.2,12.6,4.9,10.1,48.3,0.8,2.4,34.5,2,2.6,76.2,0.7,1.4,2.1,5.3,2.2,1.2,0.2,1.5,23.6,1,0,-4.2,2024
34,Brittney Sykes,WAS,30,18,9,9,23.3,12.2,4.5,11.1,40.5,0.9,3.3,27.1,2.3,3.1,75,0.6,3.4,4.1,3.1,2.2,0.9,0.4,1.4,22.8,1,0,0.5,2024
35,Betnijah Laney-Hamilton,NYL,31,28,21,7,30.3,11.8,4.3,9.4,45.6,1.5,3.6,40.2,1.7,1.9,90.6,1.1,3.1,4.2,3.3,2.4,1.1,0,2.1,23.1,0,0,9.7,2024
35,Shakira Austin,WAS,24,12,2,10,19.8,11.8,4.3,10.1,43,0.1,0.3,25,3,4.5,66.7,1.8,5.1,6.8,0.9,2.4,1.3,0.9,2.5,23.9,1,0,0.1,2024
37,Teaira McCowan,DAL,28,39,9,30,25.2,11.7,4.7,8.3,57,0,0.1,25,2.3,3.2,71.8,2.9,5.2,8.1,1.6,2,0.9,0.9,3,24.9,13,0,-4.1,2024
38,Ezi Magbegor,SEA,25,37,23,14,30.7,11.7,4.6,9.1,51.2,0.4,1.4,24.5,2.1,2.4,87.4,2.2,5.8,8,2,1.4,1.1,2.2,3.2,28.6,8,0,4.4,2024
39,Natasha Cloud,PHO,32,38,18,20,33.3,11.5,4,10.1,39.7,1.2,3.8,30.8,2.4,2.9,82.6,0.5,3.6,4.1,6.9,3,1.4,0.6,2.7,27.7,8,0,-2.3,2024
40,Courtney Williams,MIN,30,40,30,10,26.5,11.1,4.9,11,44.3,0.6,1.7,33.3,0.9,1.1,81,0.4,4.3,4.7,5.5,2.5,0.9,0.4,1.9,24.5,3,0,6.6,2024
